
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
ATE1E-2M3-10-Z                   S1                                67   1   1   1   1 1      1 0 VREG                290817
ATE1E-2M3-10-Z                   S1                                67   1   2   2   1 2      2 0 RESET_AB~           897025
ATE1E-2M3-10-Z                   S1                                67   1   3   3   1 3      3 0 GND                 888833
ATE1E-2M3-10-Z                   S2                                66   1   1   1   1 1      1 0 VREG                290817
ATE1E-2M3-10-Z                   S2                                66   1   2   2   1 2      2 0 RESET_CD~           880641
ATE1E-2M3-10-Z                   S2                                66   1   3   3   1 3      3 0 GND                 888833
C2012X7R2A104K                   C2                                 7   1   1   1   1 1      1 0 PVDD                794625
C2012X7R2A104K                   C2                                 7   1   2   2   1 2      2 0 GND                 888833
C2012X7R2A104K                   C15                                2   1   1   1   1 1      1 0 XSIG010323          811009
C2012X7R2A104K                   C15                                2   1   2   2   1 2      2 0 OUT_A               434177
C2012X7R2A104K                   C16                                6   1   1   1   1 1      1 0 PVDD                794625
C2012X7R2A104K                   C16                                6   1   2   2   1 2      2 0 GND                 888833
C2012X7R2A104K                   C18                                8   1   1   1   1 1      1 0 OUT_B               438273
C2012X7R2A104K                   C18                                8   1   2   2   1 2      2 0 XSIG010321          802817
C2012X7R2A104K                   C19                                5   1   1   1   1 1      1 0 PVDD                794625
C2012X7R2A104K                   C19                                5   1   2   2   1 2      2 0 GND                 888833
C2012X7R2A104K                   C20                                9   1   1   1   1 1      1 0 XSIG010322          806913
C2012X7R2A104K                   C20                                9   1   2   2   1 2      2 0 OUT_C               360449
C2012X7R2A104K                   C21                                4   1   1   1   1 1      1 0 PVDD                794625
C2012X7R2A104K                   C21                                4   1   2   2   1 2      2 0 GND                 888833
C2012X7R2A104K                   C23                                1   1   1   1   1 1      1 0 OUT_D               352257
C2012X7R2A104K                   C23                                1   1   2   2   1 2      2 0 XSIG010324          815105
C2012X7R2A104K                   C24                                3   1   1   1   1 1      1 0 PVDD                794625
C2012X7R2A104K                   C24                                3   1   2   2   1 2      2 0 GND                 888833
DRV8432DKD                       U1                                88   1   1   1   1 1      1 0 GVDD                860161
DRV8432DKD                       U1                                88   1   2   2   1 2      2 0 OTW~                765953
DRV8432DKD                       U1                                88   1   3   3   1 3      3 0 FAULT~              770049
DRV8432DKD                       U1                                88   1   4   4   1 4      4 0 PWM_A               131073
DRV8432DKD                       U1                                88   1   5   5   1 5      5 0 RESET_AB~           897025
DRV8432DKD                       U1                                88   1   6   6   1 6      6 0 PWM_B               118785
DRV8432DKD                       U1                                88   1   7   7   1 7      7 0 XSIG010352          905217
DRV8432DKD                       U1                                88   1   8   8   1 8      8 0 GND                 888833
DRV8432DKD                       U1                                88   1   9   9   1 9      9 0 XSIG010351          901121
DRV8432DKD                       U1                                88   1  10  10   1 10    10 0 VREG                290817
DRV8432DKD                       U1                                88   1  11  11   1 11    11 0 M3                  819201
DRV8432DKD                       U1                                88   1  12  12   1 12    12 0 M2                  303105
DRV8432DKD                       U1                                88   1  13  13   1 13    13 0 M1                  299009
DRV8432DKD                       U1                                88   1  14  14   1 14    14 0 PWM_C               122881
DRV8432DKD                       U1                                88   1  15  15   1 15    15 0 RESET_CD~           880641
DRV8432DKD                       U1                                88   1  16  16   1 16    16 0 PWM_D               126977
DRV8432DKD                       U1                                88   1  17  17   1 17    17 0 GVDD                860161
DRV8432DKD                       U1                                88   1  18  18   1 18    18 0 GVDD                860161
DRV8432DKD                       U1                                88   1  19  19   1 19    19 0 GVDD                860161
DRV8432DKD                       U1                                88   1  20  20   1 20    20 0 XSIG010324          815105
DRV8432DKD                       U1                                88   1  21  21   1 21    21 0 PVDD                794625
DRV8432DKD                       U1                                88   1  22  22   1 22    22 0 OUT_D               352257
DRV8432DKD                       U1                                88   1  23  23   1 23    23 0 GND                 888833
DRV8432DKD                       U1                                88   1  24  24   1 24    24 0 GND                 888833
DRV8432DKD                       U1                                88   1  25  25   1 25    25 0 OUT_C               360449
DRV8432DKD                       U1                                88   1  26  26   1 26    26 0 PVDD                794625
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
DRV8432DKD                       U1                                88   1  27  27   1 27    27 0 XSIG010322          806913
DRV8432DKD                       U1                                88   1  28  28   1 28    28 0 XSIG010321          802817
DRV8432DKD                       U1                                88   1  29  29   1 29    29 0 PVDD                794625
DRV8432DKD                       U1                                88   1  30  30   1 30    30 0 OUT_B               438273
DRV8432DKD                       U1                                88   1  31  31   1 31    31 0 GND                 888833
DRV8432DKD                       U1                                88   1  32  32   1 32    32 0 GND                 888833
DRV8432DKD                       U1                                88   1  33  33   1 33    33 0 OUT_A               434177
DRV8432DKD                       U1                                88   1  34  34   1 34    34 0 PVDD                794625
DRV8432DKD                       U1                                88   1  35  35   1 35    35 0 XSIG010323          811009
DRV8432DKD                       U1                                88   1  36  36   1 36    36 0 GVDD                860161
ECA-1CM331B                      C4                                82   1   1   1   1 1      1 0 GVDD                860161
ECA-1CM331B                      C4                                82   1   2   2   1 2      2 0 GND                 888833
ECE-A1HN470U                     C29                               76   1   1   1   1 1      1 0 OUTA                442369
ECE-A1HN470U                     C29                               76   1   2   2   1 2      2 0 GND                 888833
ECE-A1HN470U                     C30                               75   1   1   1   1 1      1 0 OUTB                446465
ECE-A1HN470U                     C30                               75   1   2   2   1 2      2 0 GND                 888833
ECE-A1HN470U                     C31                               74   1   1   1   1 1      1 0 OUTC                450561
ECE-A1HN470U                     C31                               74   1   2   2   1 2      2 0 GND                 888833
ECE-A1HN470U                     C32                               73   1   1   1   1 1      1 0 OUTD                454657
ECE-A1HN470U                     C32                               73   1   2   2   1 2      2 0 GND                 888833
ECJ-1VB1C104K                    C5                                26   1   1   1   1 1      1 0 GVDD                860161
ECJ-1VB1C104K                    C5                                26   1   2   2   1 2      2 0 GND                 888833
